__resourceType,__resourceId,__time,__iso8601Time,C,L,Wt,Wv,Ww,a,air_pressure_hpa,h,hi,humi,light,sound,t,temp_c,ti
"Subscriber","440103227943283","2023-02-03 23:27:37","2023-02-03T23:27:37.352+09:00","951","488","23.2","0","0","1014.9","","26.7","28","","","","23.7","","22.8"
"Subscriber","440103227943283","2023-02-03 23:12:32","2023-02-03T23:12:32.863+09:00","978","0","23.5","0","0","1015","","26.5","28","","","","24","","23.1"
"Subscriber","440103227943283","2023-02-03 22:57:28","2023-02-03T22:57:28.228+09:00","985","0","23.2","0","0","1015.2","","26.1","27","","","","24.5","","23.6"
"Subscriber","440103227943283","2023-02-03 22:42:23","2023-02-03T22:42:23.667+09:00","1017","0","24.2","0","0.5","1015.3","","25.7","27","","","","25","","24.2"
"Subscriber","440103227943283","2023-02-03 22:27:19","2023-02-03T22:27:19.170+09:00","1053","0","25.4","0","0","1015.4","","24.8","26","","","","25.8","","25.1"
"Subscriber","440103227943283","2023-02-03 22:12:14","2023-02-03T22:12:14.382+09:00","1027","0","26.7","0","0","1015.3","","23.7","25","","","","26.9","","26.3"
"Subscriber","440103227943283","2023-02-03 21:57:09","2023-02-03T21:57:09.822+09:00","1033","0","27.6","0","0","1015.3","","22.4","23","","","","28.4","","27.9"
"Subscriber","440103227943283","2023-02-03 21:42:05","2023-02-03T21:42:05.281+09:00","1048","0","27.9","0","0.5","1015.3","","22.5","24","","","","28.5","","27.9"
"Subscriber","440103227943283","2023-02-03 21:27:00","2023-02-03T21:27:00.706+09:00","1056","488","27.9","0","0.5","1015.3","","22.5","24","","","","28.5","","28"
"Subscriber","440103227943283","2023-02-03 21:11:56","2023-02-03T21:11:56.142+09:00","1076","0","27.9","0","0.5","1015.5","","22.5","24","","","","28.5","","28"
"Subscriber","440103227943283","2023-02-03 20:56:51","2023-02-03T20:56:51.264+09:00","1102","0","27.9","0","0","1015.6","","22.5","23","","","","28.6","","28"
"Subscriber","440103227943283","2023-02-03 20:41:46","2023-02-03T20:41:46.709+09:00","1134","488","28.4","0","0.5","1015.6","","22.7","24","","","","28.8","","28.2"
"Subscriber","440103227943283","2023-02-03 20:26:42","2023-02-03T20:26:42.151+09:00","1115","0","28.1","0","0.5","1015.3","","22.7","24","","","","28.8","","28.3"
